a,b,c
-86,-99,59
100,-52,69
38,3,-92
23,52,50
-20,-97,7
-51,25,82
98,-34,0
89,-75,-90
58,39,-43
43,1,37
-26,-73,-83
-23,42,61
100,-40,-60
-19,54,-54
90,-36,-51
6,-17,47
-98,-99,-88
3,-9,-20
36,35,-84
-86,8,-59
68,-19,-50
-49,48,-100
-28,58,-79
-25,-3,34
28,40,-21
52,3,-97
5,25,62
-81,-14,64
-57,69,22
-25,-12,-42
-38,-13,2
98,51,100
16,-43,96
35,73,65
-13,26,89
-53,78,64
71,-89,60
53,-21,-86
22,6,80
-75,50,82
7,-86,-11
-99,-74,-85
-61,-63,53
79,-85,-20
-24,18,15
-78,83,46
-7,-45,84
4,-90,-26
25,8,4
-86,-8,23
79,-8,-61
-25,-100,-52
-42,-95,-90
47,46,68
62,-48,-20
70,15,64
-41,-5,74
78,-21,4
70,61,47
45,-87,2
-38,14,55
50,-26,-27
20,-39,-96
-68,60,-47
55,-83,-14
31,-3,-34
-15,41,-52
-54,76,-48
-73,-92,-56
10,87,4
-10,-98,60
-94,20,-17
43,55,-70
94,-24,-85
12,-33,-82
-66,-12,-81
-41,-6,-99
-35,-26,-97
19,15,50
79,40,-63
-15,-49,4
96,-96,31
-44,-14,-79
-71,-67,70
56,-1,72
89,88,-78
-16,-31,-45
-83,-56,99
13,36,91
17,22,-57
-15,96,-97
-47,6,17
73,-62,-76
-17,6,-96
-58,64,-83
7,51,60
-18,-15,87
-74,4,65
-19,-28,74
-59,-79,2
72,-36,-85
-24,20,88
84,-69,9
77,-15,-67
-71,-29,-14
-45,-89,-97
29,-70,-87
59,53,73
-25,45,10
46,24,70
-72,-89,95
-63,1,-51
-92,-70,64
-65,-70,-66
-46,48,-37
39,6,92
91,87,26
31,-50,83
46,-43,-33
96,79,-93
76,-70,77
41,29,-93
47,57,-60
66,41,-62
-26,-66,70
46,-39,53
-41,-34,72
-30,-36,-85
23,-78,-74
-42,-73,29
-67,36,70
-76,34,-24
94,24,70
-70,28,26
40,22,90
13,-55,70
43,-30,18
84,73,-51
-12,-28,82
68,80,-64
13,-53,-2
71,-8,35
19,-63,-77
94,-16,26
9,48,68
-56,-48,-50
88,55,84
-73,75,6
-63,83,67
23,40,22
-47,-100,38
11,-99,38
16,-35,-16
-90,21,-17
6,64,-10
14,-93,-1
-39,-42,-74
-13,1,94
35,-4,37
-24,-29,11
46,-94,-69
-63,21,47
-100,-18,65
27,-49,93
65,-11,-91
-7,28,-81
-15,-2,6
-17,-83,48
-45,6,57
82,60,21
-62,75,56
-14,53,95
60,-41,-82
96,-41,-44
-44,11,-10
85,-48,44
-49,89,-49
30,36,-71
64,8,87
-98,42,85
63,65,-95
-5,97,25
45,-70,31
17,66,-90
15,-70,10
-99,-94,-27
-74,5,-65
-79,-1,70
39,7,4
-1,-76,-8
100,-39,48
-90,12,62
100,-57,-75
-96,100,-48
82,65,99
-51,-59,77
-40,-8,34
-21,54,58
-7,-2,-63
-41,-80,27
94,7,91
-53,-58,27
-80,-63,-99
10,-2,-65
-87,-92,53
1,4,18
-99,80,-71
80,-45,16
-15,81,-36
-63,2,-3
19,72,-35
-93,-26,43
54,24,19
-38,61,-11
-9,-24,54
57,-32,34
-52,-46,68
72,43,-73
15,90,-63
-95,-74,-44
-41,-97,96
6,58,-98
27,42,4
-98,-4,-72
24,73,-62
79,-92,73
10,-76,17
-26,-42,46
-71,18,-88
16,72,18
43,43,27
47,-23,-38
-97,-73,-47
-51,-83,28
-21,25,65
1,68,95
71,-18,24
-96,28,-87
34,-87,25
95,-42,60
-7,18,-94
10,2,-18
-37,42,34
-19,72,-39
1,99,67
-41,-84,95
23,1,-38
-79,-35,-99
1,0,-62
-56,-43,-22
76,-98,93
99,36,-71
-51,31,-72
-24,-59,-47
12,-61,63
71,-29,-2
-13,54,-44
-39,39,36
-9,43,83
-71,75,84
-29,100,45
28,-75,70
10,47,48
-67,15,-23
80,-48,100
-63,-49,-24
17,86,76
-86,-3,-89
55,2,29
-79,100,37
-36,21,65
86,23,-77
-38,-30,81
-81,55,-37
60,64,14
-88,-100,27
-51,24,-10
70,18,-13
-45,71,-4
77,74,45
-92,45,69
-13,-55,-30
52,-45,-44
89,-49,55
43,-27,-99
-32,-5,53
-66,28,-21
-56,-62,-95
-56,-96,-28
-31,66,-99
-54,74,-64
51,-90,3
12,-79,41
-3,20,21
-90,83,26
-14,68,7
-70,-5,68
-51,-84,81
-65,98,46
-3,54,68
-65,-78,88
89,83,89
40,-35,-14
25,-92,-27
53,-81,-59
16,-29,-84
-12,59,-57
34,53,92
68,16,20
-14,23,-68
-60,-16,-89
-15,100,-35
-87,-58,26
-2,27,-90
-24,-31,18
-55,22,-3
83,51,-64
-86,98,83
90,55,-67
92,86,61
94,-96,-16
1,87,-34
-38,-1,-11
35,-31,-76
-86,-12,-35
-36,-28,14
0,-29,-80
96,49,60
3,20,37
-43,-70,94
48,-23,-1
-14,-84,76
57,-62,68
3,87,44
-59,-13,-65
65,29,-50
0,-86,15
-43,43,21
-91,-57,-28
-67,55,68
7,6,-52
0,-15,-79
-1,93,-16
67,43,62
13,76,-29
58,-30,52
33,-83,-57
7,41,-59
31,-53,46
16,-78,-3
-86,15,-15
44,-5,-85
64,-18,71
94,-16,57
-61,-55,23
-92,2,-52
67,-5,57
-80,-30,-20
-84,-15,88
87,27,50
-93,11,97
61,38,21
1,25,-28
-12,-80,4
-6,22,-84
27,9,88
-49,36,92
-55,45,-44
65,-36,-54
-99,-89,87
-99,-91,-44
31,22,-15
-66,60,-25
46,-25,-94
89,73,5
-81,71,56
-78,-20,88
31,99,14
-53,-98,22
72,74,-52
68,-10,61
-1,42,-75
89,98,50
-29,-89,13
19,-13,-84
-72,85,71
-12,-25,97
33,60,-35
-42,39,90
27,80,34
-55,76,-80
46,92,2
-68,-19,88
82,75,70
-42,-71,22
64,-83,59
61,-60,-68
27,-14,55
63,34,70
53,-45,-98
93,-44,-7
82,-25,39
-26,-82,5
-69,-5,-5
-78,89,-69
58,-49,99
52,41,100
-73,-13,-50
100,38,97
-35,-50,89
-89,-98,20
35,21,57
73,33,-85
84,85,-2
41,76,19
-40,-32,7
43,-9,70
36,-19,-2
37,-80,-44
46,-13,45
80,-18,85
24,79,26
62,35,69
14,84,-91
67,80,-35
-77,-25,-100
-19,85,100
68,-86,88
-58,-100,-41
42,43,-24
58,8,59
55,46,-20
36,-71,100
-14,42,-31
83,22,42
30,11,21
-95,81,-91
0,-26,-11
-32,-64,-75
83,1,-41
-54,-12,-49
84,8,72
46,-29,52
-11,-15,-20
-4,-13,-84
24,91,-14
-49,-51,9
-8,80,-29
13,38,-99
94,-91,80
-81,-61,-7
14,85,12
80,16,41
-14,30,49
-3,-80,-11
-1,-76,-56
-46,-49,2
58,-49,35
34,-69,27
38,-69,46
-12,-78,-42
-41,-6,11
79,-74,84
68,55,-17
27,98,-7
48,-76,22
66,-54,84
68,71,-54
-64,76,37
95,-46,-4
-56,94,-94
10,-52,91
30,-92,-77
36,62,31
65,-5,-65
-26,-89,74
-72,15,-98
37,66,-11
-1,50,-96
-95,-25,-54
84,-82,19
-90,-98,13
21,-16,47
-80,-45,-94
17,-85,60
97,81,-32
100,9,-6
-50,85,-23
-46,-94,56
9,-21,-3
-20,-54,-38
-3,-65,64
-28,12,-38
13,11,20
76,-47,-2
95,27,-24
-39,30,41
-19,46,77
-26,-71,-28
-16,-15,-75
-47,88,-21
-96,-99,-75
8,-31,-29
-46,33,36
40,61,56
-35,45,1
51,98,-61
-22,-7,-20
26,94,-70
-13,-95,-58
