a,b,c
46,36,-32
8,-93,1
63,59,40
43,21,72
50,39,86
5,86,55
-74,-23,-65
75,-78,46
99,-98,-7
60,14,34
33,5,80
-54,-26,89
98,36,79
12,52,-48
55,-61,50
73,-15,85
-4,-89,-65
14,-37,-80
78,27,-26
-73,-2,89
34,99,-73
66,-34,52
-87,7,73
-62,70,-42
-96,-20,-36
-6,-72,46
0,20,76
69,-11,43
30,13,3
-12,-76,62
-46,-80,-7
70,0,-42
94,-16,55
76,67,-34
22,22,17
-38,26,82
-37,45,-46
-5,12,-54
72,-66,-94
51,-23,89
5,8,29
-65,26,4
-70,74,86
-27,-60,-98
87,-15,-33
-14,-70,-97
63,92,-85
67,75,59
-6,100,94
-91,54,84
-21,7,-32
10,-86,-25
-51,-97,44
88,47,-60
-78,-38,-74
-45,8,-8
82,-25,-57
-3,100,-74
-20,31,-73
-46,40,-69
-58,-11,-6
-6,87,-28
-70,-3,-46
-10,77,78
-51,-51,56
88,65,56
-33,0,-99
-43,-18,78
37,-30,36
-16,-59,-79
-69,4,-1
85,12,-53
12,-13,-12
-28,-56,84
-36,97,55
-23,79,-38
96,79,-3
47,-83,-64
-97,-74,-89
-99,64,-87
-34,-81,69
86,-55,-78
-80,-27,-88
-58,-63,-40
34,-15,87
-75,85,89
91,96,-20
-20,-55,-5
5,-67,28
21,34,-5
-24,-23,-51
43,-16,-35
68,19,-84
25,38,12
73,-42,-30
-73,-33,-10
28,-81,85
-39,-62,71
100,38,-92
82,1,81
-20,-100,-78
53,-35,-65
-27,26,-8
-3,49,-57
61,-29,0
-57,-54,42
92,-60,-68
-99,-79,4
7,-65,-14
-41,-62,-82
17,13,-19
-58,-31,-44
-4,-44,77
-49,-80,-79
87,-26,97
41,-40,-31
-93,-43,-49
-4,24,45
-3,44,78
15,69,11
-49,-68,41
-62,-9,-60
60,-54,-50
-72,-20,23
-38,51,80
5,28,88
7,-43,41
-81,43,59
87,66,10
-82,83,-71
11,-52,37
26,-86,39
-72,-2,92
13,97,-58
-25,74,13
0,-46,20
-79,49,21
42,40,87
55,68,14
-58,98,-51
-17,22,9
99,-6,-45
-73,-90,85
50,99,60
-81,0,-37
-51,-43,93
60,-46,-72
-49,-21,98
42,20,-84
-11,-12,-27
69,17,42
-95,-1,-37
21,18,-30
17,97,-87
-32,57,40
-26,67,63
25,93,-58
96,-79,-79
95,78,25
-56,3,-5
-95,98,81
-4,-59,10
-23,40,-85
26,-40,-38
52,23,-99
-74,-42,30
0,94,94
100,-51,95
86,-45,75
67,92,-10
-99,94,-9
-99,74,-90
52,40,-48
59,65,54
48,-36,4
-91,88,81
0,-54,-62
-75,-45,62
-83,43,8
-86,-13,80
61,45,-46
95,70,-1
63,-87,86
22,-26,23
-77,90,14
4,63,-7
-30,89,62
38,-67,-9
-100,-100,75
11,64,-69
-99,-92,-93
24,67,44
79,52,-12
-87,-85,37
-97,-100,-78
76,-62,-37
88,-97,-58
34,-74,-94
50,-56,0
100,-67,-26
-15,13,-42
20,44,-70
-85,-86,69
-26,60,-50
-49,57,-68
-72,-3,-77
-88,-91,-96
-47,-89,68
-28,-23,2
14,78,30
42,53,49
-79,89,76
20,36,-43
35,96,-1
-14,73,-15
-42,81,98
-48,6,6
48,-72,-67
-64,-91,55
11,77,-1
-51,74,94
-70,-79,-85
-58,96,-19
-16,27,47
60,-63,63
-53,20,-100
-87,-48,-35
65,-62,-74
-22,98,66
-13,-67,-83
68,88,4
-63,37,44
29,-61,-7
-48,7,-94
-33,47,-1
31,-83,-9
-66,46,7
84,-82,38
5,95,2
36,-13,4
69,-5,-79
-36,-42,25
60,56,-81
66,46,19
-21,100,-30
-12,76,-76
46,-62,70
-37,-15,-34
3,53,66
83,98,56
-89,71,-73
-14,5,-12
-19,71,66
-56,62,55
-37,-77,88
-30,-51,-13
87,-39,37
64,-52,11
-52,-16,-26
-86,-26,58
-78,28,-45
-34,28,95
-92,-36,2
-48,16,-27
50,-76,-80
91,-33,-48
48,72,-23
29,43,73
43,-61,-68
-29,46,-58
92,83,12
-36,-8,80
-90,61,94
-47,96,-57
41,57,27
79,18,-73
87,-72,-87
23,-13,15
-97,94,3
70,36,89
38,36,-21
21,95,6
30,28,-68
89,40,47
20,-62,-58
-68,58,-39
-9,-53,-12
-97,53,56
-95,-78,-2
-76,-70,62
94,79,2
93,-70,-81
-3,87,-84
20,-89,97
-53,16,11
-14,-29,40
91,-10,-2
-62,11,-95
-5,62,-50
54,44,-5
30,100,-36
95,16,63
-35,56,-68
18,-71,97
69,39,-98
-82,-4,59
52,-12,-55
17,53,40
-16,-37,-46
-92,55,-52
37,-14,-48
99,73,36
77,-22,-95
84,100,-56
-4,37,-52
-20,-65,6
-18,-96,40
-74,81,41
57,-68,-71
75,-25,75
69,-51,-77
78,-67,-61
-17,-41,-57
34,-98,-50
38,-21,-14
-76,-51,40
-88,32,83
-75,84,-29
24,57,33
-11,-57,2
-48,-89,-25
8,66,21
-4,100,97
-63,67,-33
-21,19,-80
90,-73,-62
-29,-10,-60
10,13,14
-28,-89,93
-90,87,-95
83,68,26
-68,-30,25
-92,4,-71
-84,43,-52
62,32,-34
-81,95,70
-74,36,34
-94,-98,-35
-10,30,69
-12,90,-89
37,-2,-26
-69,6,-82
1,42,69
9,-46,-17
-16,-78,26
-86,-52,66
62,60,4
77,99,-84
1,60,-84
82,-78,-8
-42,-33,74
21,-41,77
-8,28,-25
-75,-62,20
-80,69,-69
97,-47,-75
-98,46,39
84,-25,98
72,-50,73
38,-43,-97
21,95,-89
-96,-16,-17
