"a" "b" "c"
52 98 56
-83 -68 0
-57 -79 2
-84 35 33
14 100 9
-94 -50 -77
81 -20 49
32 -55 -75
-10 18 25
30 -82 56
48 58 -2
45 -86 31
74 -5 -100
84 50 -88
-90 72 80
75 55 59
-75 26 55
90 -84 77
-36 45 69
-74 17 -88
20 -2 59
87 66 -7
95 76 -35
55 11 83
-94 -54 -57
8 -15 -41
-58 16 17
42 18 94
96 -53 -23
-61 -65 72
-2 -65 55
9 47 78
-96 59 48
-44 5 -2
63 73 -66
99 -30 -56
-51 68 50
-95 74 21
22 39 95
-65 -66 -48
58 -98 7
35 18 90
-40 -79 87
-34 51 32
63 16 -54
-59 86 -71
-87 44 -3
-37 -78 -79
-91 4 -9
-54 54 -30
87 20 -52
17 76 -65
-60 13 62
29 67 -43
26 -52 13
-40 -23 54
-41 -14 18
33 -24 -86
-38 -80 -84
-44 -64 -80
74 -36 6
-58 8 -91
49 38 52
-57 -34 -17
-65 -62 20
42 33 -65
-40 -38 -11
-35 47 80
10 35 24
47 31 21
-82 53 33
-73 -43 46
-1 58 97
58 -13 60
-88 -50 -52
7 87 35
-66 -43 -3
-33 19 -18
43 45 85
24 -96 4
-65 -94 -58
4 -65 -48
-24 5 -99
-59 69 56
-12 -26 -35
-99 77 86
-74 -59 35
-88 14 -44
-17 46 -44
-70 -85 57
-9 0 -47
3 99 1
-51 48 -84
-91 44 -5
91 -55 -21
6 73 -75
2 75 -17
67 -10 87
76 -84 51
-74 64 44
-78 81 24
45 -16 91
-85 11 -57
87 21 96
-75 21 -57
13 -40 39
-79 -39 -87
11 -28 -84
4 -49 -14
-55 -97 -35
-85 6 -77
-16 -86 -58
-50 7 74
-91 -14 0
-3 -62 -22
-25 -70 -36
32 -27 -13
-87 -19 98
84 -55 -85
77 -62 -46
-80 -93 90
96 -61 25
85 5 93
-1 91 -95
65 27 -71
12 -27 34
20 90 -20
71 -54 -61
-30 -21 -68
-23 3 51
-57 51 62
-14 -34 -40
69 15 -79
85 33 -36
-23 -82 -71
-42 37 25
77 -90 -99
30 93 88
-64 -66 -29
30 6 -75
-76 81 -74
71 -94 -52
67 -10 15
-83 60 -75
20 14 26
43 -90 -2
9 10 5
-100 61 -22
-67 9 -21
56 -41 60
-45 9 34
95 -70 51
38 -62 -11
0 6 -71
-92 80 60
-10 -14 2
82 -12 -29
-39 1 -54
52 -80 -70
23 -54 51
-4 88 23
16 50 -26
7 58 -76
-5 32 45
54 12 23
16 73 17
31 37 -46
-22 59 27
-77 19 -79
51 21 81
-100 -38 54
-25 -14 48
91 -25 -12
18 65 -31
78 -27 32
13 -85 18
15 39 -99
-61 13 79
44 100 14
-33 84 -34
17 -35 58
10 -40 55
-37 -18 -59
78 35 50
-27 46 96
93 46 15
-55 -25 78
-51 -41 8
90 -52 70
-62 68 -2
51 20 -99
55 3 -39
